schulnummer;schultyp;schulname;strasse;plz;ort;gemeinsames_lernen;anmerkung
124254;GS;Martinschule;Deckertstr. 1;33617;Bielefeld;1;
124515;GS;Grundschule Am Homersen;Rüggesiek 11;33719;Bielefeld;1;
124187;GS;Eichendorffschule;Weihestr. 4;33613;Bielefeld;1;
124310;GS;Vogelruthschule;Wikingerstr. 15;33647;Bielefeld;1;
124175;GS;Volkeningschule;Petristr. 58;33609;Bielefeld;1;
124138;GS;Sudbrackschule;Klarhorststr. 8;33613;Bielefeld;1;
124448;GS;Astrid-Lindgren-Schule;Werraweg 54;33689;Bielefeld;1;
124229;GS;Hellingkampschule;Herforder Str. 263;33609;Bielefeld;1;
183313;GS;Grundschule Bültmannshof;Kurt-Schumacher-Str. 45;33615;Bielefeld;1;
124205;GS;Rußheideschule;Spindelstraße 119;33604;Bielefeld;1;
124394;GS;Bahnhofschule;Buschkampstr. 134;33659;Bielefeld;1;
124576;GS;Grundschule Dreekerheide;Bargholzstr. 32;33739;Bielefeld;1;
124436;GS;Hans-Christian-Andersen-GS;Vennhofallee 85;33689;Bielefeld;1;
124333;GS;Grundschule Quelle;Carl-Severing-Str. 165;33649;Bielefeld;1;
124217;GS;Plaßschule;Meyer-zu-Eissen-Weg 4;33611;Bielefeld;1;
124266;GS;Grundschule Stieghorst;Detmolder Str. 415;33605;Bielefeld;1;
124503;GS;Grundschule Brake;Am Bohnenkamp 15;33729;Bielefeld;1;
124540;GS;Grundschule Milse;Elverdisser Str. 2-4;33729;Bielefeld;1;
124230;GS;Bückardtschule;Heeper Str. 50;33607;Bielefeld;1;
190901;GS;Georg-Müller-Schule (priv.);Detmolder Str. 284;33605;Bielefeld;1;
192557;GS;Montessori GS Bielefeld (priv.);Von-Möller-Str. 54;33659;Bielefeld;1;
124321;GS;Brocker Schule;Von-Möller-Str. 54;33649;Bielefeld;1;Gemeinsames Lernen ab 01.08.2025
193136;GS;Grundschule Am Waldschlösschen;Am Waldschlösschen 66;33739;Bielefeld;1;Gemeinsames Lernen ab 01.08.2025
124539;GS;Grundschule Hillegossen;Detmolder Str. 613;33699;Bielefeld;1;Gemeinsames Lernen ab 01.08.2025
184883;GE;Laborschule;Universitätsstr. 21;33615;Bielefeld;1;
164203;GE;Martin-Niemöller-Gesamtschule;Apfelstr. 210;33611;Bielefeld;1;
188128;GE;Friedrich-Wilhelm-Murnau-Schule;Am Wortkamp 3;33605;Bielefeld;1;
193495;GE;Gesamtschule Rosenhöhe;An der Rosenhöhe 11;33647;Bielefeld;1;
189996;GE;Gesamtschule Quelle;Marienfelder Str. 81;33649;Bielefeld;1;
168592;GY;Gymnasium Bethel (priv.);An der Rehwiese 65;33617;Bielefeld;1;
100045;RS;Realschule am Schlehenweg;Schlehenweg 24;33609;Bielefeld;1;
162024;RS;Realschule Senne;Klashofstr. 79;33659;Bielefeld;1;
162012;RS;Realschule Brackwede;Kölner Str. 40;33647;Bielefeld;1;
161986;RS;Bosseschule;Bossestr. 10;33615;Bielefeld;1;
161974;RS;Luisenschule;Paulusstr. 9-11;33602;Bielefeld;1;
162036;RS;Theodor-Heuss-Schule;Wintersheide 30;33689;Bielefeld;1;
162048;RS;Realschule Heepen;Alter Postweg 33;33719;Bielefeld;1;
161998;RS;Gertrud-Bäumer-Realschule;Stapenhorststr. 100;33615;Bielefeld;1;
162050;RS;Realschule Jöllenbeck;Dörpfeldstr. 8;33739;Bielefeld;1;
100047;SK;Sekundarschule Gellershagen;Am Brodhagen 50;33613;Bielefeld;1;
100046;SK;Sekundarschule Königsbrügge;Fritz-Reuter-Str. 30;33604;Bielefeld;1;
198432;SK;Sekundarschule Bethel (priv.);An der Rehwiese 65;33617;Bielefeld;1;
186028;WA;Rudolf-Steiner-Schule (priv.);An der Probstei 23;33611;Bielefeld;1;
